% Model,SiGratingSlab.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:06"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0,0.5873578572585186+0.061258863810609764i,5.873578572585187E11+6.1258863810609764E10i,4.79406424411018
0,0.9830528460190167+0.09071704388013394i,9.830528460190167E11+9.071704388013394E10i,5.418236772121577
0,1.226736698551277+0.004544636454677212i,1.226736698551277E12+4.544636454677212E9i,134.96532789644309
0,1.2368321467654126+2.4702634972170778E-8i,1.2368321467654126E12+24702.634972170777i,2.5034417343712308E7
0,1.2478739404631518+0.40002184716624034i,1.2478739404631519E12+4.0002184716624036E11i,1.5597572348899267
0,1.2574879545927622+0.48608669452787445i,1.2574879545927622E12+4.8608669452787445E11i,1.2934811513552467
0,1.4871625234954842+0.08030122921005356i,1.4871625234954841E12+8.030122921005356E10i,9.259898871568545
0,1.626379009257894+7.66177320274741E-8i,1.626379009257894E12+76617.73202747409i,1.0613594048142122E7
0,1.6746077355144298+0.024984615171511633i,1.6746077355144297E12+2.4984615171511635E10i,33.51277824410676
0,1.8987646000629652+0.08581731966635268i,1.8987646000629653E12+8.581731966635269E10i,11.06282861924103
0,2.032432999158545+6.402983016885289E-8i,2.0324329991585447E12+64029.83016885288i,1.5870985396953432E7
0,2.1835908345567296+0.017491564456992414i,2.1835908345567295E12+1.7491564456992413E10i,62.418397162977016
0,2.2539367364321996-4.44087902552521E-9i,2.2539367364321997E12-4440.87902552521i,2.5377146320323747E8
0,2.2972324927069745-4.712779534937904E-9i,2.2972324927069746E12-4712.779534937905i,2.4372373836677283E8
0,2.297401816462819+2.0742638237518685E-5i,2.297401816462819E12+2.0742638237518687E7i,55378.727386455226
0,2.435089576056561+0.0842941746419019i,2.435089576056561E12+8.42941746419019E10i,14.44399679100778
0,2.5452890228839267-2.5955565916143194E-7i,2.545289022883927E12-259555.65916143195i,4903166.109163645
0,2.5957106345240497+0.0052424358476011205i,2.59571063452405E12+5.242435847601121E9i,247.56722924056547
0,2.6566475912606933-7.246352406051672E-7i,2.6566475912606934E12-724635.2406051672i,1833093.011762744
0,2.7069522102857473+0.03438453572721976i,2.7069522102857476E12+3.438453572721976E10i,39.362930937334845
0.004363323129985824,0.5873747216865778+0.06124977550610275i,5.873747216865778E11+6.124977550610275E10i,4.794913261584554
0.004363323129985824,0.9830598473746792+0.09070772383855666i,9.830598473746792E11+9.070772383855666E10i,5.418832078315337
0.004363323129985824,1.2262607702232033+0.004340021581314296i,1.2262607702232034E12+4.340021581314296E9i,141.2735797792799
0.004363323129985824,1.237307943602928+2.0497938718637556E-4i,1.237307943602928E12+2.0497938718637556E8i,3018.12772636967
0.004363323129985824,1.2478988163456863+0.40001564096006414i,1.2478988163456863E12+4.0001564096006415E11i,1.559812528018462
0.004363323129985824,1.257514872386519+0.48607938386045046i,1.257514872386519E12+4.860793838604505E11i,1.2935282940816324
0.004363323129985824,1.4871561281938779+0.08029148451323463i,1.487156128193878E12+8.029148451323463E10i,9.260982887598413
0.004363323129985824,1.6263399399101783+4.890992851674151E-5i,1.6263399399101785E12+4.8909928516741514E7i,16625.867070665357
0.004363323129985824,1.6746534772219954+0.02494439450695544i,1.6746534772219954E12+2.494439450695544E10i,33.56773155497999
0.004363323129985824,1.8987611197583991+0.08581581300225455i,1.8987611197583992E12+8.581581300225455E10i,11.063002571032655
0.004363323129985824,2.032420573567561+1.4978161771123735E-6i,2.032420573567561E12+1497816.1771123735i,678461.2840428278
0.004363323129985824,2.183583701946673+0.01749521898672814i,2.183583701946673E12+1.749521898672814E10i,62.405154905552706
0.004363323129985824,2.253940527675333+4.585584572769806E-7i,2.253940527675333E12+458558.45727698057i,2457637.0710287625
0.004363323129985824,2.2949115661508466+1.0173028990746023E-5i,2.2949115661508467E12+1.0173028990746023E7i,112793.91655319331
0.004363323129985824,2.299729084560702+1.062250046583592E-5i,2.299729084560702E12+1.0622500465835921E7i,108248.01052996369
0.004363323129985824,2.4350885435305996+0.08428897991441732i,2.4350885435305996E12+8.428897991441733E10i,14.444880849211028
0.004363323129985824,2.5452278667603836+8.322088342078511E-6i,2.545227866760384E12+8322088.342078512i,152920.02212299826
0.004363323129985824,2.595744500038971+0.005233022394827874i,2.595744500038971E12+5.233022394827874E9i,248.01580274188288
0.004363323129985824,2.6566720037537803+6.746165689128602E-6i,2.6566720037537803E12+6746165.689128602i,196902.3684101762
0.004363323129985824,2.70695721706561+0.034381914996633824i,2.70695721706561E12+3.438191499663383E10i,39.36600415262843
0.008726646259971648,0.5874253106414234+0.06122251914416301i,5.874253106414235E11+6.122251914416301E10i,4.797461120949553
0.008726646259971648,0.9830808531783541+0.09067976907309906i,9.830808531783541E11+9.067976907309906E10i,5.4206184203329295
0.008726646259971648,1.2249495560715993+0.003922047945557115i,1.2249495560715994E12+3.922047945557115E9i,156.16198132651832
0.008726646259971648,1.2386187634803332+6.239732111946349E-4i,1.2386187634803333E12+6.239732111946349E8i,992.5255934537012
0.008726646259971648,1.2479734414042316+0.3999970198577996i,1.2479734414042317E12+3.999970198577996E11i,1.5599784241491232
0.008726646259971648,1.2575956200558625+0.48605745479253587i,1.2575956200558625E12+4.860574547925359E11i,1.293669717083799
0.008726646259971648,1.4871369318704213+0.08026224200452195i,1.4871369318704214E12+8.026224200452196E10i,9.264237421791908
0.008726646259971648,1.6262223685788215+1.9470051702869957E-4i,1.6262223685788215E12+1.9470051702869958E8i,4176.214818009729
0.008726646259971648,1.6747910741616268+0.024824449115269244i,1.6747910741616267E12+2.4824449115269245E10i,33.73269365182974
0.008726646259971648,1.8987506773836882+0.08581129218565235i,1.8987506773836882E12+8.581129218565236E10i,11.063524560822072
0.008726646259971648,2.0323833118176675+5.800145787436853E-6i,2.0323833118176675E12+5800145.787436853i,175201.05410279692
0.008726646259971648,2.1835622911906225+0.017506177220442478i,2.1835622911906226E12+1.750617722044248E10i,62.365480015843
0.008726646259971648,2.2539516601613268+1.8464151939588885E-6i,2.2539516601613267E12+1846415.1939588885i,610358.8368249509
0.008726646259971648,2.292515766067894+1.0596902596612898E-5i,2.292515766067894E12+1.0596902596612899E7i,108169.1440100928
0.008726646259971648,2.302144152828877+1.0374785032950385E-5i,2.302144152828877E12+1.0374785032950385E7i,110949.00499226019
0.008726646259971648,2.4350854476350787+0.08427339476071417i,2.4350854476350786E12+8.427339476071417E10i,14.447533854244622
0.008726646259971648,2.5450450496517223+3.381081939994075E-5i,2.545045049651722E12+3.381081939994075E7i,37636.547927853266
0.008726646259971648,2.595845407421818+0.005205066098683757i,2.595845407421818E12+5.205066098683757E9i,249.35758338191405
0.008726646259971648,2.656745284192883+2.9139667759823354E-5i,2.656745284192883E12+2.9139667759823356E7i,45586.40314794358
0.008726646259971648,2.7069722293272305+0.03437404647071258i,2.7069722293272305E12+3.437404647071258E10i,39.37523374842745
0.013089969389957472,0.5875096111326173+0.06117712036380143i,5.875096111326173E11+6.117712036380143E10i,4.801710244278246
0.013089969389957472,0.9831158686322968+0.09063319565672318i,9.831158686322969E11+9.063319565672318E10i,5.423597068980593
0.013089969389957472,1.2231119817314817+0.0035447387587139766i,1.2231119817314817E12+3.544738758713977E9i,172.52498209137758
0.013089969389957472,1.240455681356086+0.0010029852312626018i,1.2404556813560862E12+1.0029852312626019E9i,618.3818279131319
0.013089969389957472,1.2480978078826372+0.39996597641994536i,1.2480978078826372E12+3.999659764199454E11i,1.560254973503288
0.013089969389957472,1.2577301804668366+0.4860209161204724i,1.2577301804668367E12+4.860209161204724E11i,1.293905404839693
0.013089969389957472,1.4871049032081913+0.08021347644343393i,1.4871049032081914E12+8.021347644343393E10i,9.269669942910959
0.013089969389957472,1.6260252588346231+4.3531124510420805E-4i,1.626025258834623E12+4.3531124510420805E8i,1867.6582297401633
0.013089969389957472,1.6750215884085107+0.024626937888122674i,1.6750215884085107E12+2.4626937888122673E10i,34.00791434196854
0.013089969389957472,1.8987332685565652+0.08580375474442023i,1.8987332685565652E12+8.580375474442023E10i,11.064394991875567
0.013089969389957472,2.0323212589255086+1.2973930786943368E-5i,2.0323212589255085E12+1.2973930786943369E7i,78323.26579739367
0.013089969389957472,2.1835265636402807+0.017524423097085223i,2.183526563640281E12+1.7524423097085224E10i,62.29952768041361
0.013089969389957472,2.2539693870097146+4.1553119829423E-6i,2.253969387009715E12+4155311.9829423004i,271215.4221226153
0.013089969389957472,2.290128640736375+1.0992100558363134E-5i,2.290128640736375E12+1.0992100558363134E7i,104171.56523345182
0.013089969389957472,2.3045642267424267+1.0284730224017648E-5i,2.304564226742427E12+1.0284730224017648E7i,112038.14667693671
0.013089969389957472,2.4350802934194635+0.08424741625242332i,2.4350802934194634E12+8.424741625242332E10i,14.451958301744476
0.013089969389957472,2.544742492539468+7.546255994514309E-5i,2.5447424925394683E12+7.546255994514309E7i,16860.960550432883
0.013089969389957472,2.59601132362507+0.005159394973288586i,2.5960113236250703E12+5.159394973288587E9i,251.58098353249147
0.013089969389957472,2.656867560390612+6.639834379496339E-5i,2.656867560390612E12+6.639834379496339E7i,20007.031866600166
0.013089969389957472,2.706997222391127+0.03436090961468433i,2.7069972223911274E12+3.436090961468433E10i,39.39065136439631
0.017453292519943295,0.5876276015000472+0.06111362184945663i,5.876276015000472E11+6.1113621849456635E10i,4.80766467210511
0.017453292519943295,0.9831649023789844+0.09056803036141883i,9.831649023789844E11+9.056803036141884E10i,5.427770143921578
0.017453292519943295,1.2210133050547531+0.0032658283767755323i,1.2210133050547532E12+3.2658283767755322E9i,186.93776343818513
0.017453292519943295,1.2425534403690375+0.0012842848841262697i,1.2425534403690376E12+1.2842848841262698E9i,483.75304254023706
0.017453292519943295,1.248271902890719+0.39992249828542864i,1.248271902890719E12+3.9992249828542865E11i,1.5606422597408047
0.017453292519943295,1.2579185250689928+0.4859697824829706i,1.257918525068993E12+4.8596978248297064E11i,1.2942353315075439
0.017453292519943295,1.487059989808465+0.08014514581153928i,1.487059989808465E12+8.014514581153928E10i,9.277292933656119
0.017453292519943295,1.625747059968877+7.671581071694815E-4i,1.625747059968877E12+7.671581071694815E8i,1059.5906142263545
0.017453292519943295,1.6753466136129125+0.024355481016523274i,1.6753466136129126E12+2.4355481016523273E10i,34.39362606873422
0.017453292519943295,1.898708885975215+0.08579319656109152i,1.898708885975215E12+8.579319656109152E10i,11.065614536364691
0.017453292519943295,2.032234489743807+2.302402607779222E-5i,2.0322344897438074E12+2.302402607779222E7i,44132.90887695778
0.017453292519943295,2.183476455310441+0.017549929865925684i,2.1834764553104412E12+1.7549929865925686E10i,62.20755501564142
0.017453292519943295,2.2539923824991064+7.377489344117356E-6i,2.2539923824991064E12+7377489.344117356i,152761.4800485201
0.017453292519943295,2.287752570614117+1.1476027691111363E-5i,2.287752570614117E12+1.1476027691111363E7i,99675.2810376221
0.017453292519943295,2.3069882627643046+1.0253709471618781E-5i,2.3069882627643047E12+1.025370947161878E7i,112495.30080551884
