% Model,SiGratingSlab80.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:22"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0,0.5873578572585191+0.061258863810630115i,5.87357857258519E11+6.125886381063012E10i,4.79406424410859
0,0.9830528460190294+0.09071704388013395i,9.830528460190294E11+9.071704388013396E10i,5.418236772121646
0,1.2267366985512904+0.00454463645466351i,1.2267366985512905E12+4.54463645466351E9i,134.96532789685148
0,1.2368321467654118+2.4702627308092177E-8i,1.2368321467654119E12+24702.62730809218i,2.503442511072994E7
0,1.247873940463146+0.4000218471662698i,1.247873940463146E12+4.0002184716626984E11i,1.5597572348898046
0,1.2574879545927633+0.48608669452786213i,1.2574879545927634E12+4.860866945278621E11i,1.2934811513552806
0,1.4871625234954977+0.08030122921002893i,1.4871625234954978E12+8.030122921002893E10i,9.25989887157147
0,1.626379009257896+7.661773279390738E-8i,1.626379009257896E12+76617.73279390739i,1.0613593941970736E7
0,1.674607735514428+0.024984615171513545i,1.674607735514428E12+2.4984615171513546E10i,33.51277824410416
0,1.8987646000629674+0.08581731966635466i,1.8987646000629675E12+8.581731966635466E10i,11.06282861924079
0,2.032432999158545+6.402983002886816E-8i,2.032432999158545E12+64029.830028868164i,1.5870985431651251E7
0,2.1835908345567296+0.017491564456991935i,2.1835908345567295E12+1.7491564456991936E10i,62.418397162978714
0,2.2539367364321996-4.440879000191154E-9i,2.2539367364321997E12-4440.879000191154i,2.5377146465093744E8
0,2.2972324927069736-4.712780532611126E-9i,2.2972324927069736E12-4712.780532611126i,2.4372368677161667E8
0,2.2974018164628194+2.0742638237278385E-5i,2.2974018164628193E12+2.0742638237278387E7i,55378.72738709679
0,2.4350895760565585+0.08429417464190195i,2.4350895760565586E12+8.429417464190195E10i,14.44399679100776
0,2.545289022883926-2.5955565651905914E-7i,2.545289022883926E12-259555.65651905915i,4903166.159079691
0,2.5957106345240484+0.005242435847599584i,2.5957106345240483E12+5.242435847599585E9i,247.5672292406379
0,2.656647591260692-7.246352412968372E-7i,2.656647591260692E12-724635.2412968372i,1833093.0100130416
0,2.70695221028574+0.03438453572721295i,2.70695221028574E12+3.438453572721295E10i,39.362930937342526
8.726646259971648E-4,0.5873585318496544+0.0612585002511041i,5.873585318496544E11+6.12585002511041E10i,4.794098202225152
8.726646259971648E-4,0.9830531260677225+0.09071667106131909i,9.830531260677225E11+9.071667106131909E10i,5.418260583014763
8.726646259971648E-4,1.2267173534693205+0.00453557581025718i,1.2267173534693206E12+4.53557581025718E9i,135.23281329518358
8.726646259971648E-4,1.2368514865871472+9.098937079130109E-6i,1.2368514865871472E12+9098937.07913011i,67966.81171826471
8.726646259971648E-4,1.2478749355067393+0.4000215989259557i,1.2478749355067393E12+4.000215989259557E11i,1.5597594465614366
8.726646259971648E-4,1.2574890313227938+0.48608640209178i,1.2574890313227937E12+4.8608640209178E11i,1.293483037080887
8.726646259971648E-4,1.4871622677167395+0.08030083944910989i,1.4871622677167395E12+8.03008394491099E10i,9.259942224260422
8.726646259971648E-4,1.6263774476691704+2.0322156485097514E-6i,1.6263774476691704E12+2032215.6485097515i,400148.8348103738
8.726646259971648E-4,1.6746095639703216+0.024983004056210758i,1.6746095639703215E12+2.498300405621076E10i,33.514976025351416
8.726646259971648E-4,1.8987644608554723+0.08581725940242502i,1.8987644608554724E12+8.581725940242502E10i,11.062835576882902
8.726646259971648E-4,2.0324325020868206+1.2137817836180885E-7i,2.0324325020868208E12+121378.17836180885i,8372314.2393374285
8.726646259971648E-4,2.1835905492937573+0.017491710655321426i,2.1835905492937573E12+1.7491710655321426E10i,62.41786730646191
8.726646259971648E-4,2.2539368888443807+1.408258543872308E-8i,2.253936888844381E12+14082.585438723081i,8.002567776534483E7
8.726646259971648E-4,2.296828507176915+8.600408199033595E-6i,2.296828507176915E12+8600408.199033596i,133530.20310332498
8.726646259971648E-4,2.2978060548846737+1.2139810870722705E-5i,2.297806054884674E12+1.2139810870722705E7i,94639.28554382335
8.726646259971648E-4,2.4350895347501536+0.08429396685590342i,2.435089534750154E12+8.429396685590341E10i,14.444032150680638
8.726646259971648E-4,2.5452865745408575+8.454062088863254E-8i,2.5452865745408574E12+84540.62088863253i,1.5053630714954335E7
8.726646259971648E-4,2.5957119913647353+0.005242058390009467i,2.5957119913647354E12+5.242058390009467E9i,247.5851848876532
8.726646259971648E-4,2.6566485676350537-4.2575499190664253E-7i,2.6566485676350537E12-425754.99190664256i,3119926.5048401244
8.726646259971648E-4,2.706952410573537+0.03438443087958543i,2.706952410573537E12+3.4384430879585434E10i,39.363053878269895
0.0017453292519943296,0.5873605556156359+0.061257409586117674i,5.87360555615636E11+6.1257409586117676E10i,4.79420007786899
0.0017453292519943296,0.983053966216495+0.09071555261345696i,9.83053966216495E11+9.071555261345695E10i,5.418332016370623
