% Model,"2D photonic crystal band structure(sweep, simple).mph"
% Version,COMSOL 5.4.0.388
% Date,"Aug 11 2026, 10:56"
% Table,Table 7 - Global Evaluation 4 ()
% U,lambda (THz),freq*a/(c_const) (1)
0,7.990114404062978E-7i,3.997822922581483E-7i
0,4.592170002237904E-6i,2.2976745476888734E-6i
0,7.382207740417934E-6i,3.6936591682459534E-6i
0,8.877247228322765E-6i,4.441696409348679E-6i
0,9.901338563826308E-6i,4.954096558939938E-6i
0,1.1040149934698291E-5i,5.5238964357293585E-6i
0,1.4074854826499431E-5i,7.042299322869938E-6i
0,1.6072877083494885E-6,8.042002052380626E-7
0,5.235389527719863E-6,2.619506956235635E-6
0,7.29636468536371E-6,3.6507079267636423E-6
0,8.715391209506506E-6,4.360712374645448E-6
0,9.456929471091812E-6,4.731738183566219E-6
0,1.1719498847672159E-5,5.863806043949323E-6
0,0.8781189421676037,0.43936342563074265
0,0.9749377566142003,0.48780634598929784
0,1.026268514654717,0.5134894927817282
0,1.0262685160022758,0.513489493455974
0,1.2356413981644816,0.6182484074521722
0,1.2356413990277773,0.618248407884119
0,1.3877264445804631,0.6943435738035459
0,1.5559998262475032,0.7785385112560952
0,1.605149681781687,0.8031304518916651
0,1.6948246995606526,0.8479990011426434
0,1.694824685084465,0.8479989938995388
0,1.7237148960834343,0.8624540995374711
0,1.7662490841429557,0.8837359164700647
0,1.8224988059136236,0.9118802477914355
0,1.9307727290597827,0.9660546876031396
0,1.9307727335229001,0.9660546898362433
0,1.9350333562689206,0.9681864759931288
0,1.935033357146018,0.9681864764319811
0,1.942287564843802,0.9718160912726171
0,2.0296312278871924,1.0155181561741584
0,2.106868904017765,1.054163729504712
0,2.128388808722089,1.0649311308168843
0,2.1699256195828234,1.0857139139151508
0,2.169925626550144,1.085713917401223
0,2.283483754210064,1.142532288559139
0,2.3287201009144116,1.1651661201468975
0,2.3287200685885834,1.165166103972794
1,2.331283910460687E-8+1.0472552590710216E-5i,1.1664489123642431E-8+5.239901294002973E-6i
1,4.6988464714791225E-8+1.4084652920390006E-5i,2.351049707600944E-8+7.047201761354853E-6i
1,4.2577875082784157E-7-7.450903998247729E-6i,2.130367556617326E-7-3.7280310758756956E-6i
1,9.89983266523321E-7+2.3030681246345365E-6i,4.953343088387439E-7+1.152331252760136E-6i
1,2.15758273324964E-6-1.7102063388655144E-6i,1.0795381983473581E-6-8.556951450387292E-7i
1,4.821615870993726E-6-1.914243736028718E-5i,2.412476903101608E-6-9.577844696957242E-6i
1,8.5412670497291E-6-6.94302622222376E-7i,4.273590022933015E-6-3.4739163896296677E-7i
1,9.059283105693342E-6+1.3389236152876535E-6i,4.532777358441756E-6+6.69925266409297E-7i
1,1.2122482436686288E-5-9.109436537793653E-8i,6.065437328323126E-6-4.5578714347411896E-8i
1,1.4116719763489453E-5-1.212525177282408E-5i,7.063246282611345E-6-6.066822954977779E-6i
1,0.01550196857845406+1.0048865256589521E-13i,0.007756350183993318+5.0279109706236445E-14i
1,0.018019501800264952-3.2350470640151644E-14i,0.009015988220890276-1.618643320247485E-14i
1,0.8777642097749393-2.789593099929053E-15i,0.4391859366463478-1.3957621475232637E-15i
1,0.9737298281612333-1.8456181544597473E-16i,0.4872019636470808-9.234479246604732E-17i
1,1.0262936647133096,0.5135020765165361
1,1.0278222085331252,0.5142668775208774
1,1.2344639341097383+1.5697698741416125E-16i,0.6176592678540991+7.85428301606046E-17i
1,1.2358080345419644+2.562477036639942E-16i,0.6183317833208954+1.282125501289266E-16i
1,1.3884823779811233-2.6399292925888144E-16i,0.6947218021647779-1.3208784388042283E-16i
1,1.5563599934557286+7.105709630451015E-16i,0.778718719529493+3.5553144054332816E-16i
1,1.6046837149773128-1.454695637111121E-15i,0.8028973071984249-7.278513509725056E-16i
1,1.6937976147097304-5.495285122579412E-16i,0.847485103199159-2.7495447146536016E-16i
1,1.6948261325832215,0.8479997181499582
1,1.7250979349566435,0.86314609770302
1,1.7653990713035226+3.4709363024613583E-15i,0.8833106158245262+1.7366695908314138E-15i
1,1.8205729719745587,0.9109166642083565
1,1.9255159695875952-7.149907941724046E-16i,0.963424488277618-3.5774288599968945E-16i
1,1.9327486678151709-2.2830268389175416E-16i,0.9670433409378018-1.1423036727549405E-16i
1,1.9343907606300126+2.9650707936450454E-16i,0.9678649557438228+1.4835617347210142E-16i
1,1.9361637639474565-1.8808352625267476E-15i,0.9687520711148726-9.410686688422699E-16i
1,1.9477201332469205+1.0962120693015863E-15i,0.9745342559185998+5.484854805628163E-16i
1,2.030383215534478-6.002055130742748E-16i,1.015894410292909-3.0031051335234463E-16i
1,2.1062666469097358-5.735229595921868E-16i,1.0538623924837374-2.8696000063760115E-16i
1,2.1278026320687826-2.3132432012779853E-15i,1.0646378395894047-1.1574223131113518E-15i
1,2.1699438649610907-2.224574083669011E-15i,1.0857230429197908-1.1130570621304677E-15i
1,2.1711061193635595+1.849888095001933E-15i,1.0863045724270153+9.255843729407292E-16i
1,2.2825727048740516,1.1420764485379673
1,2.3287168011000454-2.773433580397475E-16i,1.1651644690975074-1.3876767942561823E-16i
1,2.329080660398094,1.1653465246938068
1,2.4013045908998434,1.2014834897380122
2,9.498736455163929E-9-1.4085141787701644E-5i,4.752656146788687E-9-7.0474463642285715E-6i
2,1.4109233542621494E-7+1.1032281988001255E-5i,7.059500580875934E-8+5.519959738947763E-6i
2,5.01058931166224E-7+9.59297172420585E-6i,2.50702903523122E-7+4.799806400169272E-6i
2,8.312383744332931E-7+7.199289075062613E-6i,4.159069143927362E-7+3.602136519589802E-6i
2,1.7705743212464315E-6-1.698278063562654E-6i,8.85900032171472E-7-8.497268785007196E-7i
2,2.75255161473708E-6+4.0929294594146595E-6i,1.3772285832839798E-6+2.0478814677592686E-6i
2,7.78192926321655E-6-7.550147091057401E-7i,3.8936582903712755E-6-3.777686974562282E-7i
2,9.565234425978274E-6-9.177834408075561E-7i,4.7859281499894875E-6-4.592094045312288E-7i
2,1.0255096758712056E-5+9.105854535923065E-7i,5.1310981072339335E-6+4.5560791939217483E-7i
2,1.136678990572977E-5+1.1965938996067396E-6i,5.687329485318358E-6+5.987111421629257E-7i
2,0.030999309672929673+2.862595257630155E-14i,0.015510385024227162+1.4322884955448854E-14i
2,0.03603164232979101+1.097571633847124E-15i,0.018028293258360258+5.491657334390601E-16i
2,0.8766863029236268-2.1373999203744638E-16i,0.4386466101109989-1.0694398057744654E-16i
2,0.9705262846830184+1.084816004851137E-16i,0.4855990830244727+5.4278350367196545E-17i
2,1.0263689242504492,0.5135397323356526
2,1.0320765042273008,0.516395497961777
2,1.2310133791083087,0.615932795968624
2,1.2363077986531918,0.6185818383662566
2,1.3906678340710437-1.5946688817262442E-16i,0.6958152866896222-7.978864240104954E-17i
2,1.5574410914636125-4.78612600289433E-16i,0.7792596427477233-2.394719684489692E-16i
2,1.603291356416538+4.817828350142738E-16i,0.8022006459631505+2.410581831653052E-16i
2,1.6912249341893362-1.0227497475263958E-15i,0.8461978724241302-5.11728891221671E-16i
2,1.6948304286292117,0.8480018676599987
2,1.7286796656169445+3.4522690590202168E-15i,0.8649382028234401+1.7273295075789814E-15i
2,1.7629782133684482-4.304857047318402E-15i,0.8820993488944515-2.1539186189192266E-15i
2,1.8151680640659573-2.783753397929438E-16i,0.9082123393841134-1.3928402751526713E-16i
2,1.9170468878286149-7.353968961557345E-16i,0.9591870158864777-3.679530004165754E-16i
2,1.9325235233010223+1.7582286499862208E-15i,0.9669306907485755+8.797229231761831E-16i
2,1.938303245810572-3.743149107756619E-16i,0.969822552612667-1.8728702179809102E-16i
2,1.9394791734702042-1.32524746767964E-15i,0.9704109234813725-6.63082458705302E-16i
2,1.956716212417069+8.445304372554384E-16i,0.979035409431682+4.22557546755615E-16i
2,2.0325787175015315-4.851911087196891E-16i,1.016992921233628-2.4276349976740696E-16i
2,2.104404151308148-1.0619536265939666E-15i,1.052930499993506-5.31344400895819E-16i
2,2.126385872013057-1.3547387544908432E-15i,1.0639289691602531-6.778383103074143E-16i
2,2.1699991549757796+5.137339017785062E-16i,1.0857507070653756+2.5704477617904557E-16i
2,2.174362008202491+2.3856496503299707E-15i,1.087933643848951+1.1936506006081568E-15i
2,2.2799643387685733-6.320784905986506E-16i,1.1407713626180882-3.1625803471612884E-16i
2,2.3287068439728826,1.165159487087338
2,2.3300554468512096-4.568834241524388E-16i,1.1658342553356742-2.2859985898266262E-16i
2,2.4029168611514273,1.202290182939539
3,1.4924618011602616E-9-1.4081029879915897E-5i,7.467475054827404E-10-7.0453889870284335E-6i
3,1.6931770311675853E-8-1.0835032286577566E-5i,8.471745966175632E-9-5.4212666116725156E-6i
3,1.2790994203132218E-7+9.651085996147353E-6i,6.39992461207891E-8+4.828883651976671E-6i
3,2.3399188543909712E-7+7.1778337988129374E-6i,1.1707693732530312E-7+3.5914014548756275E-6i
3,1.3882428293162333E-6-1.8686064249248952E-6i,6.946019449142879E-7-9.349500171172894E-7i
3,1.7494399041978754E-6+2.5368337905612254E-6i,8.753255081209592E-7+1.2692950020249802E-6i
3,7.401212086542915E-6+1.2007624780692744E-6i,3.703167919525971E-6+6.007968743176025E-7i
3,7.999949833321066E-6-9.906370927800119E-7i,4.002744041673523E-6-4.956614482843386E-7i
3,9.345158482180326E-6+3.460323378969922E-7i,4.6758140003877236E-6+1.7313594554986712E-7i
3,1.1645896671499105E-5+3.90698139822303E-8i,5.826979478999654E-6+1.9548430725814137E-8i
3,0.046487375595602225+1.0633251211945446E-13i,0.023259779068025562+5.320306229290854E-14i
3,0.05402897613444689-8.163452638762798E-15i,0.027033189808153987-4.0845520397128184E-15i
3,0.8748469168460115+2.425989933381011E-15i,0.4377262803819491+1.2138347056320931E-15i
3,0.9661778585667722,0.4834233647899702
3,1.0264937349635306,0.5136021808945226
3,1.0382182155750048,0.5194684795447746
3,1.2255078346283916+3.86638078153935E-16i,0.6131781180240989+1.9345287106285458E-16i
3,1.237140256267246-2.6706989903096956E-16i,0.6189983553224908-1.3362739383739077E-16i
3,1.3940636564559838-1.7713114402662923E-16i,0.6975143733215515-8.86268846829842E-17i
3,1.5592444536334573,0.7801619480534716
3,1.6009906725704086+4.444270417353872E-16i,0.8010495076749439+2.2236735608708364E-16i
3,1.6879701067191233,0.8445693320539387
3,1.694837577632395+2.363406659389963E-16i,0.8480054446361663+1.18252140588705E-16i
3,1.7333357337688446+1.0128472111610273E-15i,0.8672678485638444+5.067741953473495E-16i
3,1.759432745625226-4.540144754623757E-15i,0.8803253877847182-2.271643915717064E-15i
3,1.8071183317992874+4.130787464732223E-16i,0.9041846868939346+2.0668235746939085E-16i
3,1.9082837105439225+6.212296693559887E-16i,0.9548023939334337+3.108298688534663E-16i
3,1.9295905449147375-7.104712592006751E-16i,0.9654631863260904-3.554815541093474E-16i
3,1.9447763309025283+3.4068581633217476E-15i,0.9730613357704255+1.7046083410752853E-15i
3,1.9466002733264087-4.455510249824986E-16i,0.9739739383268984-2.229297367693445E-16i
3,1.966356208328838,0.9838587442027165
3,2.036059103656322+1.317535211320595E-15i,1.0187343190216223+6.592236609837904E-16i
3,2.101208746437259-4.958278807029405E-16i,1.0513316914916813-2.4808556760104047E-16i
3,2.124803737087635+5.071223948069882E-16i,1.0631373540529336+2.537367341677696E-16i
3,2.1700932651226155-8.128971970262608E-16i,1.0857977947143431-4.067299770227679E-16i
3,2.179102139385679+1.3806501662586146E-15i,1.090305350202812+6.908029852398495E-16i
3,2.2759543933852027+3.8073892259024135E-16i,1.1387650019126911+1.9050125133079963E-16i
3,2.3286900527126377,1.165151085645042
3,2.331400795010571,1.1665073950979303
