% Model,yuin.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 12 2026, 11:22"
% Table,Table 1 - Global Evaluation 1 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
0,0.4874688783091732,0.48780634599137235
0,0.5131342575101739,0.5134894929646702
0,0.513134258433204,0.5134894938883392
0,0.6178206990247376,0.6182484073946292
0,0.6178206994991098,0.6182484078693298
0,0.69386322115501,0.6943435726675385
0,0.7779999126816322,0.7785385108136698
0,0.8025748424906796,0.8031304534926087
0,0.8474123437863867,0.8479989951445542
0,0.8474123530845237,0.8479990044491282
0,0.8618574523475384,0.8624541038462733
0,0.8831245437033552,0.8837359181030717
0,0.9112494028161903,0.9118802476507167
0,0.9653863645116435,0.9660546875848792
0,0.9653863666497301,0.966054689724446
0,0.9675166780852149,0.9681864759438493
0,0.9675166789021029,0.9681864767613029
0,0.9711437823140804,0.9718160911647221
0,1.0148156142446003,1.015518156475371
0,1.0534344493739645,1.05416372686797
0,1.0641944039655848,1.064931130421151
0,1.0849628078726703,1.0857139119950812
0,1.0849628116606367,1.0857139157856697
0,1.1417418878193746,1.1425322992808988
0,1.164360038442042,1.1651661081234157
0,1.1643600613611715,1.165166131058412
0,1.2003806179496692,1.20121162415934
0,1.2594418231143645,1.260313716545562
0,1.3143644958020033,1.3152744114083117
0,1.3359060175736068,1.3368308460651204
1,0.4874688783093772,0.4878063459915764
1,0.5131342575101735,0.5134894929646696
1,0.513134258433256,0.5134894938883913
1,0.6178206990247194,0.618248407394611
1,0.6178206994991117,0.6182484078693318
1,0.6938632211550022,0.6943435726675307
1,0.777999912681627,0.7785385108136647
1,0.8025748424906853,0.8031304534926144
1,0.8474123437864125,0.84799899514458
1,0.8474123530845287,0.8479990044491332
1,0.8618574523475472,0.8624541038462821
1,0.8831245437033566,0.883735918103073
1,0.9112494028161924,0.9118802476507187
1,0.9653863645116412,0.9660546875848769
1,0.9653863666497294,0.9660546897244454
1,0.9675166780852137,0.9681864759438482
1,0.9675166789021034,0.9681864767613033
1,0.9711437823140805,0.9718160911647221
1,1.0148156142446005,1.015518156475371
1,1.0534344493739658,1.054163726867971
1,1.0641944039655824,1.0649311304211484
1,1.084962807872671,1.0857139119950818
1,1.0849628116606356,1.0857139157856688
1,1.141741887819381,1.1425322992809055
1,1.1643600384420452,1.1651661081234188
1,1.1643600613611689,1.1651661310584092
1,1.200380617949669,1.2012116241593398
1,1.2594418231143631,1.260313716545561
1,1.3143644958020142,1.3152744114083224
1,1.3359060175736135,1.3368308460651268
2,0.4874688783092715,0.48780634599147066
2,0.513134257510111,0.5134894929646071
2,0.5131342584331289,0.513489493888264
2,0.6178206990247366,0.6182484073946282
2,0.6178206994991114,0.6182484078693314
2,0.6938632211550082,0.6943435726675367
2,0.7779999126816289,0.7785385108136665
2,0.8025748424906821,0.8031304534926114
2,0.847412343786387,0.8479989951445545
2,0.847412353084527,0.8479990044491315
2,0.8618574523475422,0.8624541038462771
2,0.8831245437033524,0.8837359181030688
2,0.9112494028161909,0.9118802476507173
2,0.9653863645116416,0.9660546875848772
2,0.9653863666497293,0.9660546897244452
2,0.967516678085213,0.9681864759438473
2,0.9675166789021052,0.9681864767613051
2,0.9711437823140805,0.9718160911647221
2,1.0148156142446005,1.015518156475371
2,1.0534344493739667,1.054163726867972
2,1.064194403965583,1.064931130421149
2,1.0849628078726732,1.085713911995084
2,1.0849628116606462,1.0857139157856794
2,1.1417418878193812,1.1425322992809057
2,1.1643600384420414,1.1651661081234153
2,1.1643600613611724,1.1651661310584127
2,1.2003806179496603,1.2012116241593311
2,1.2594418231143638,1.2603137165455613
2,1.3143644958020118,1.3152744114083201
2,1.3359060175735844,1.3368308460650977
3,0.487468878309355,0.48780634599155426
3,0.5131342575101415,0.5134894929646376
3,0.5131342584332116,0.5134894938883467
3,0.6178206990247416,0.6182484073946332
3,0.6178206994991018,0.6182484078693218
3,0.6938632211550061,0.6943435726675347
3,0.7779999126816348,0.7785385108136724
3,0.8025748424906907,0.8031304534926199
3,0.8474123437863837,0.8479989951445513
3,0.8474123530845293,0.8479990044491339
3,0.8618574523475475,0.8624541038462823
3,0.8831245437033604,0.8837359181030767
3,0.9112494028161915,0.911880247650718
3,0.9653863645116426,0.9660546875848782
3,0.9653863666497301,0.966054689724446
3,0.9675166780852137,0.9681864759438482
3,0.9675166789021046,0.9681864767613044
3,0.9711437823140804,0.9718160911647221
3,1.0148156142446005,1.015518156475371
3,1.0534344493739627,1.0541637268679682
3,1.0641944039655786,1.0649311304211446
3,1.0849628078726712,1.085713911995082
3,1.0849628116606431,1.0857139157856763
3,1.1417418878193832,1.1425322992809077
3,1.1643600384420436,1.1651661081234175
3,1.164360061361171,1.1651661310584114
3,1.20038061794967,1.2012116241593411
3,1.2594418231143647,1.2603137165455622
3,1.3143644958020069,1.315274411408315
3,1.3359060175736044,1.336830846065118
4,0.4874688783091702,0.48780634599136924
