% Model,"2D photonic crystal band structure(sweep, simple).mph"
% Version,COMSOL 5.4.0.388
% Date,"Aug 10 2026, 18:08"
% Table,Table 6 - Global Evaluation 3 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
0,1.6031630159253168E-7i,8.021364312934032E-8i
0,1.547045607983153E-7,7.740583026857631E-8
0,0.8781388045440988,0.43937336369420876
0,0.9750186793027504,0.48784683534437867
0,1.0263889617869002,0.513549758039727
0,1.0263931923422236,0.513551874781765
0,1.2354572830579613,0.6181562861687941
0,1.2354658884470562,0.618160591842035
0,1.3827117856698048,0.6918345085601544
0,1.5561039104135757,0.7785905893671159
1,1.767426388979186E-6-6.915837287236133E-7i,8.84324976403769E-7-3.4603125108818446E-7i
1,0.015501878869978152+6.325544088172169E-8i,0.007756305298703421+3.164961585610754E-8i
1,0.018009073367994417+2.057370037110243E-8i,0.00901077039502829+1.0293971623747E-8i
1,0.8777841120660546+1.1381136490937442E-16i,0.4391958946809401+5.694507743889327E-17i
1,0.9738106104370462,0.4872423827471901
1,1.0264153029433647,0.5135629377357608
1,1.0279460058327334,0.5143288190222252
1,1.2342658336473478,0.6175601490518556
1,1.2356287255029943,0.6182420667348781
1,1.3834846834075016+5.249488496334782E-14i,0.6922212249619877+2.6265613207995287E-14i
2,4.6106307159384124E-7-1.408771980101298E-7i,2.3069112945822066E-7-7.048736263244977E-8i
2,0.030999304714236786+2.5972612776384904E-9i,0.015510382543164301+1.299529662103019E-9i
2,0.03601065249129625+9.556738069283892E-10i,0.018017791073631467+4.781677030689623E-10i
2,0.8767063315045952-1.4751890322046568E-16i,0.43865663133423216-7.381051421603759E-17i
2,0.9706064689287462,0.48563920290253576
2,1.0264905945286227,0.5136006095900297
2,1.0322013757147228,0.516457976928854
2,1.2307670782465618,0.6158095602824813
2,1.2361281437064553,0.6184919487066225
2,1.3857164901552967+3.1802745489696803E-14i,0.6933379008597158+1.5912381036131734E-14i
3,2.1519220207257805E-7-7.421745423627202E-8i,1.0767058826705608E-7-3.71344169553485E-8i
3,0.04648737596921975+2.8859994236893945E-10i,0.023259779254963652+1.4439986797580116E-10i
3,0.053997471312317094+1.3276551347029683E-10i,0.027017426491921834+6.642871256135645E-11i
3,0.8748671741323094-1.2519020712019947E-16i,0.43773641603701186-6.263843724857788E-17i
3,0.9662567996659379,0.48346286266444594
3,1.0266154558766436,0.5136630834838966
3,1.0383451077492316,0.5195319695547002
3,1.2251943699167416,0.6130212771647219
3,1.236960040119399,0.6189081848680457
3,1.3891772217304457-5.6598356812146356E-14i,0.6950694645545981-2.8318769519618646E-14i
4,1.269973999438173E-7-4.889938570793851E-8i,6.354265920716588E-8-2.4466619024120935E-8i
4,0.06196148152434157+4.245513075651235E-12i,0.031002188282706015+2.1242260915972912E-12i
4,0.07196185008788952+2.83875595583838E-11i,0.03600583412002789+1.4203605928463916E-11i
4,0.8722124234458742,0.4364081217709657
4,0.9615028596093701,0.481084247094053
4,1.0267889587435977,0.5137498949741413
4,1.045688901203458,0.523206408283022
4,1.2178516938084907-2.0546330174288718E-16i,0.6093473974961492-1.0280277051343659E-16i
4,1.2381236867014433,0.6194904109469508
4,1.3935637618798167-2.1829654405169993E-13i,0.697264252998561-1.0922383380223324E-13i
5,8.210278319262838E-8-3.529859968929766E-8i,4.107981088334869E-8-1.7661518200683517E-8i
5,0.0774168745813874-2.96539575336149E-11i,0.03873523458421395-1.4837243270617015E-11i
5,0.0898959038274886+7.599478674137214E-12i,0.04497906873335449+3.8023698418743476E-12i
5,0.8686862545258028,0.4346438167529565
5,0.9568417090374405,0.47875205838439094
5,1.0270098094303073,0.5138603967633705
5,1.0537897704914694,0.5272596469845829
5,1.2090512627348513,0.6049441357535008
5,1.2396180765878422-1.7296476686241837E-16i,0.6202381231624456-8.654225393943284E-17i
5,1.398567771018284-4.837204450506996E-13i,0.6997679896695151-2.420276588732761E-13i
6,7.31912016934849E-8-2.6197471587511992E-8i,3.662093545402912E-8-1.31078038598516E-8i
6,0.09284871955257497-1.7639627411352196E-11i,0.04645649869179245-8.825919535650325E-12i
6,0.10779139150811343+2.031023233269106E-12i,0.05393300696783043+1.016214640697752E-12i
6,0.8642489109723765,0.43242360902173355
6,0.9525767746813757,0.4766181149300505
6,1.027276357110659,0.5139937628671059
6,1.062381817473943,0.5315586445509962
6,1.1990734914777956,0.59995179639132
6,1.2414419222147277,0.6211506772869154
6,1.4039179074252792-7.27659355713507E-13i,0.7024449097841944-3.640815519015693E-13i
7,4.239665326574952E-8-5.120261310059046E-8i,2.121300192902927E-8-2.5619029966019254E-8i
7,0.10825206744879103-6.5344906433687216E-12i,0.05416350439782795-3.269507188554117E-12i
7,0.12563960881051575+1.1081835845108394E-12i,0.06286329365089419+5.544753820212045E-13i
7,0.8588923713543697,0.42974348508512333
7,0.9488749565196597,0.4747659244914992
7,1.0275866034560202,0.5141489934293244
7,1.0713034762357359,0.5360225620998122
7,1.1881524644692683,0.5944875026522188
7,1.2435936592648433,0.6222272906202546
7,1.4093965090566796-8.166874312316731E-13i,0.7051861069783881-4.086264060877441E-13i
8,3.2645603571356336E-8-4.01898372643284E-8i,1.6334101826215556E-8-2.0108830054855015E-8i
8,0.12362182535120905-1.2795792553583487E-11i,0.06185370348003003-6.4023254482189905E-12i
8,0.14343127033819478+7.871035060135531E-13i,0.07176528287022224+3.9382420321605614E-13i
8,0.852647658326428,0.42661896700871704
8,0.945804178071819,0.4732294723397373
8,1.0279382143559006,0.514324920586845
8,1.0804526773808887,0.5406003296024655
8,1.1764766771346555,0.5886455674952247
8,1.2460714518713627+1.6181729971292312E-16i,0.6234670445935782+8.096466174922408E-17i
8,1.4148405385836804-2.346138335498972E-12i,0.7079100061534972-1.1738812666356195E-12i
9,6.391499595604745E-8-1.939292389494176E-8i,3.197962169350877E-8-9.703174668394306E-9i
9,0.13895272016741508-1.0146179387864516E-11i,0.06952445756694875-5.07660172084675E-12i
9,0.16115637682441353+4.4726835049508666E-13i,0.08063397153127191+2.237889939654953E-13i
9,0.8455809164147953,0.4230831499510881
