% Model,"2D photonic crystal band structure(sweep, mesh).mph"
% Version,COMSOL 5.4.0.388
% Date,"Aug 11 2026, 18:05"
% Table,Table 8 - Global Evaluation 5 ()
% U,lambda (THz),freq*a/(c_const) (1)
0,5.186549100586513E-6i,2.595069836906894E-6i
0,1.4655094726185362E-5i,7.332620118574845E-6i
0,2.0206033662254302E-5i,1.0110011004139887E-5i
0,2.4397082284011233E-5i,1.2206986016311607E-5i
0,2.667826098897808E-5i,1.3348364982372945E-5i
0,3.1281895154765824E-5i,1.565177558007438E-5i
0,3.201657727327611E-5i,1.6019370944253094E-5i
0,9.57287275849485E-7,4.789749960201558E-7
0,1.2177854628159659E-5,6.093142590745057E-6
0,1.8277173680709566E-5,9.144913352378047E-6
0,2.249773650890529E-5,1.1256655683899139E-5
0,2.5960537120586413E-5,1.2989254613229669E-5
0,2.8508357727075923E-5,1.426404682622599E-5
0,3.101598696571152E-5,1.551872944334286E-5
0,0.8781189336966031,0.4393634213923102
0,0.9749376960761057,0.48780631569929567
0,1.0262684515592513,0.5134894612121552
0,1.0262684515973828,0.5134894612312342
0,1.2356427358098654,0.6182490767378804
0,1.2356427373121166,0.6182490774895261
0,1.3878384809002557,0.6943996307440073
0,1.555999878803506,0.7785385375522885
0,1.6051493287582792,0.8031302752577647
0,1.6948242470418244,0.8479987747265931
0,1.6948242467296963,0.847998774570421
0,1.723714511155175,0.8624539069401014
0,1.7662489467751334,0.8837358477386046
0,1.8225060299110278,0.9118838622906723
0,1.9307828171845223,0.9660597351574413
0,1.930782829333486,0.9660597412361283
0,1.9350331364286275,0.968186365996886
0,1.9350331365268605,0.9681863660460366
0,1.942292144614513,0.9718183827432274
0,2.029630886812838,1.015517985518921
0,2.10693145365833,1.0541950259761022
0,2.128390371628332,1.0649319128109946
0,2.169960805004168,1.0857315188050032
0,2.1699608481132597,1.0857315403744712
0,2.2834826160603665,1.1425317190903281
0,2.3287187507264444,1.1651654445855562
1,2.4750465233261077E-13-3.108149391406685E-5i,1.2383799811899077E-13-1.5551505592278866E-5i
1,7.47556536679367E-12+3.180129923637539E-5i,3.740370296503758E-12+1.591165740886086E-5i
1,6.491160547464036E-10+2.7255175630158257E-5i,3.2478271422011735E-10+1.3637021997810693E-5i
1,9.071274155985692E-10+2.4799568482988498E-5i,4.538777034203621E-10+1.2408368433499E-5i
1,1.125955833531883E-9-2.308956476760827E-5i,5.633676582677155E-10-1.1552774670339573E-5i
1,2.7965041334369123E-9-2.592043546410178E-5i,1.3992200564816639E-9-1.2969189904087804E-5i
