% Model,yuinrods.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 13 2026, 13:14"
% Table,Table 6 - Global Evaluation 2 (freq*a/c_const)
% U,lambda (THz),freq*a/c_const (1)
0,3.8590469023665645E-7i,3.8617184649454034E-7i
0,8.74467240246652E-7i,8.750726213198985E-7i
0,1.2527180966728894E-6i,1.2535853353651307E-6i
0,1.515207675462275E-6i,1.5162566319086069E-6i
0,1.6959657279181016E-6i,1.6971398205602306E-6i
0,1.8683723462702806E-6i,1.8696657935306837E-6i
0,2.0911410008757E-6i,2.092588667666583E-6i
0,3.791426827742118E-7,3.794051577917398E-7
0,8.790932058841541E-7,8.797017894467719E-7
0,1.2610352615177184E-6,1.2619082580633683E-6
0,1.5302345306008323E-6,1.5312938899225064E-6
0,1.7116860020687339E-6,1.712870977630198E-6
0,1.8581866445505588E-6,1.859473040396392E-6
0,2.1507836841600053E-6,2.1522726407213404E-6
0,0.5819071256747482,0.5823099715951643
0,0.6273676768274141,0.6278019944325092
0,0.6273676770780506,0.6278019946833191
0,0.627377254886849,0.6278115791226966
0,0.8229584747590861,0.8235281970559974
0,0.8229584751275559,0.8235281974247223
0,0.8892230899330138,0.8898386862684321
0,0.9308246347777506,0.9314690312633721
0,0.9713212035406323,0.9719936352174333
0,1.0648861794655484,1.0656233848273275
0,1.0732056864274093,1.0739486512640113
0,1.0732056854295524,1.0739486502654638
0,1.1233097617533128,1.1240874129194864
0,1.1233097634557732,1.1240874146231254
0,1.1281716370897514,1.1289526540621826
0,1.1510063690790169,1.1518031942074574
0,1.1923392414839025,1.1931646807644867
0,1.3106191609298254,1.3115264836947553
0,1.3244493133096338,1.3253662104898254
0,1.3244493185727906,1.3253662157566257
0,1.341045054769617,1.3419734409425508
0,1.3937526805244698,1.3947175554274314
0,1.393752686144474,1.3947175610513263
0,1.4148355153435979,1.4158149855893951
0,1.4294628477836615,1.4304524443209923
0,1.429462841226095,1.4304524377588859
1,6.474357585522903E-8+1.9044774314471721E-6i,6.478839690012717E-8+1.9057958737379296E-6i
1,7.830991446233592E-8+2.799725445202585E-7i,7.83641272880213E-8+2.8016636547967306E-7i
1,1.9121998782683023E-7+1.5615233019767414E-6i,1.9135236666977482E-7+1.5626043220641071E-6i
1,2.2240994849478886E-7-1.5612489295931853E-6i,2.2256391969819552E-7-1.5623297597365029E-6i
1,3.53049210223885E-7-3.09663158140002E-7i,3.532936211062571E-7-3.0987753348351607E-7i
1,8.555032919649436E-7-1.2674603496823685E-6i,8.560955445699807E-7-1.268337794223998E-6i
1,1.2034712710632165E-6+6.236614329246932E-7i,1.2043044168875152E-6+6.240931847505248E-7i
1,1.530619884698718E-6-3.048976357450074E-7i,1.531679510795483E-6-3.0510871198601734E-7i
1,1.63882238603212E-6+8.216019639731477E-8i,1.6399569191618422E-6+8.22170747177183E-8i
1,1.8935186421653913E-6-2.853371942272167E-8i,1.8948294978441962E-6-2.8553472905634276E-8i
1,2.2077691092058078E-5-3.2236706005195536E-5i,2.2092975159559962E-5-3.2259023012375646E-5i
1,0.010111915724647612-4.181674389643293E-15i,0.010118916058236139-4.184569302583949E-15i
1,0.012909034019024204+1.39722512950649E-15i,0.012917970757313917+1.3981924083358592E-15i
1,0.5814430136378861,0.5818455382602247
1,0.6273140559314829-8.222365094683588E-16i,0.627748336415604-8.228057319590997E-16i
1,0.6273835294595675,0.6278178580392114
1,0.6277829597976669,0.6282175648971797
1,0.8224008358490819-2.947769582902385E-16i,0.8229701721006089-2.949810281320404E-16i
1,0.8230123521888735+5.096463238138644E-16i,0.8235821117843534+5.099991446221083E-16i
1,0.889234080770899,0.889849684715116
1,0.9312173905140623,0.9318620588988222
1,0.9712510199344613,0.9719234030241628
1,1.0642662341406017,1.0650030103231631
1,1.0724751786765891+1.3872897582259526E-16i,1.0732176377931988+1.388250158940909E-16i
1,1.073172356247065+3.5417902090926883E-16i,1.0739152980096636+3.5442421394330285E-16i
1,1.1227862782211921+1.9775618019620507E-16i,1.1235635669872575+1.9789308395096957E-16i
1,1.1234354738473287,1.124213212042174
1,1.1291374477665919-4.5640591180585E-16i,1.1299191333558416-4.567218750438178E-16i
1,1.1521091421072012-1.535519379125113E-16i,1.152906730669523-1.5365823970712892E-16i
1,1.1922771078795023+7.335682474448446E-16i,1.193102504145887+7.340760861751011E-16i
1,1.310611860569164+8.860161628905968E-16i,1.3115191782801592+8.866295391166212E-16i
1,1.324273764767502-3.4843701245065093E-16i,1.3251905404179665-3.4867823037494584E-16i
1,1.324449987829022,1.3253668854761735
1,1.341036276523826-3.5506087678380633E-16i,1.3419646566197063-3.553066803139587E-16i
1,1.3920249864320957+2.133529553142004E-16i,1.3929886652773256+2.1350065649169904E-16i
1,1.3929198390907964,1.3938841374296311
1,1.4166286252261733-3.5260461628881606E-16i,1.4176093368161116-3.528487193852115E-16i
1,1.428976707970314+4.3383053041985805E-16i,1.4299659679600552+4.3413086504650296E-16i
1,1.4298609306874162,1.4308508028118068
1,1.440379317840614,1.4413764716929076
2,4.9519321469395134E-8+1.9136172385024496E-6i,4.955360298229564E-8+1.914942008149968E-6i
2,1.2920429828812571E-7+3.2587945267607504E-7i,1.2929374456257238E-7+3.261050543266919E-7i
2,1.8138415498598402E-7+1.556828424735838E-6i,1.815097246235434E-7+1.5579061946273223E-6i
2,1.9746913843532428E-7-1.5542158600222152E-6i,1.9760584347521268E-7-1.5552918212727838E-6i
2,3.6993342249677927E-7-2.9303447072841116E-7i,3.7018952207608163E-7-2.932373342711755E-7i
2,9.680227945730294E-7-1.1362089974479457E-6i,9.686929428088175E-7-1.1369955785691703E-6i
2,1.1511318049626248E-6+6.73953749795336E-7i,1.1519287169285206E-6+6.744203182676488E-7i
2,1.5688124257666567E-6-2.7905310943596447E-7i,1.5698984920094186E-6-2.792462938837152E-7i
2,1.6383255837385083E-6+8.838524056236058E-8i,1.6394597729391595E-6+8.844642839116445E-8i
2,1.8977127272112578E-6-3.4565411395798E-8i,1.8990264863947221E-6-3.4589340532173756E-8i
2,3.922613366160987E-6-8.516532355702321E-6i,3.925328934887001E-6-8.522428228366894E-6i
2,0.020217915773471398+9.596893200441857E-15i,0.020231912345311298+9.603536991356057E-15i
2,0.025816485459266594-3.5109685832429857E-15i,0.02583435784024953-3.513399176215753E-15i
2,0.5800963386465458-9.23224543823225E-17i,0.5804979309851874-9.23863678875362E-17i
2,0.6271230968858869-1.2138276957116033E-16i,0.6275572451718117-1.214668011139496E-16i
2,0.6274309712190874-1.3270440038446188E-15i,0.627865332641978-1.3279626972916895E-15i
2,0.6289836269844213+7.490311437735187E-17i,0.6294190632885314+7.49549687244152E-17i
2,0.8207574385621605-4.1047117203335843E-16i,0.8213256371134198-4.1075533531269667E-16i
