% Model,yuin.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 12 2026, 12:36"
% Table,Table 3 - Global Evaluation 1 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
0,1.0225267778220427E-6i,1.0232346583802745E-6i
0,3.1928663372610947E-6i,3.195076712631404E-6i
0,4.1675558695510725E-6i,4.1704410084436534E-6i
0,4.907493133749433E-6i,4.91089052055082E-6i
0,3.28433919116925E-7,3.2866128918786047E-7
0,2.7564722735910794E-6,2.7583805396376036E-6
0,4.124722905141452E-6,4.127578391389805E-6
0,5.145961727022812E-6,5.1495242021960525E-6
0,5.839378971884918E-6,5.8434214898277225E-6
0,0.4390594712388094,0.43936342578585746
0,0.4874688783092518,0.48780634599145095
0,0.513134257510158,0.5134894929646542
0,0.513134258433203,0.5134894938883382
0,0.6178206990247401,0.6182484073946317
0,0.6178206994991126,0.6182484078693326
0,0.6938632211550028,0.6943435726675312
0,0.7779999126816333,0.7785385108136709
0,0.8025748424906799,0.803130453492609
0,0.8474123437863924,0.84799899514456
0,0.8474123530845208,0.8479990044491253
0,0.861857452347537,0.8624541038462717
0,0.8831245437033882,0.8837359181031046
0,0.9112494028161954,0.9118802476507217
0,0.9653863645116384,0.9660546875848741
0,0.9653863666497359,0.9660546897244517
0,0.9675166780852165,0.9681864759438508
0,0.9675166789021052,0.9681864767613051
0,0.9711437823140758,0.9718160911647173
0,1.0148156142446023,1.0155181564753728
0,1.053434449373963,1.0541637268679682
1,8.90444331401639E-12+4.313690484122703E-6i,8.910607731849334E-12+4.316676789903804E-6i
1,3.4667026898679026E-10+4.948477228741618E-6i,3.469102638200361E-10+4.951902988241569E-6i
1,8.188546170140964E-10-4.561557805362767E-6i,8.194214982694091E-10-4.564715706119699E-6i
1,8.258877001230753E-10-3.1312736885386294E-6i,8.264594502805089E-10-3.133441424205504E-6i
1,1.6596797081035676E-9+2.0446783089855243E-6i,1.6608286804568989E-9+2.0460938103241315E-6i
1,5.086771223571608E-9-3.783848287640495E-6i,5.09029272201198E-9-3.786467791301636E-6i
1,1.6857233594689816E-8+5.602816301605672E-7i,1.68689036146698E-8+5.606695050619658E-7i
1,9.016419508869909E-7-6.4332451574119874E-9i,9.022661446209473E-7-6.437698800360069E-9i
1,2.450970464712519E-6-6.627060361431842E-9i,2.4526672362576767E-6-6.631648179853651E-9i
1,3.420744508823199E-6-4.44836688850371E-9i,3.4231126409689722E-6-4.451446428819476E-9i
1,4.1042712889140416E-6-1.9558579530652977E-9i,4.1071126168030966E-6-1.957211965351007E-9i
1,4.629301845046147E-6-2.303789937622448E-9i,4.632506644025861E-6-2.305384818208917E-9i
1,4.991074502226423E-6+2.2506490266823654E-10i,4.994529751205172E-6+2.252207118581714E-10i
1,5.414580915544564E-6-3.085935627497096E-10i,5.4183293519124134E-6-3.088071976277431E-10i
1,5.852273899848498E-6+6.276387280177817E-12i,5.856325344764174E-6+6.280732332677112E-12i
1,0.0077509842885723455+1.3730567334594533E-13i,0.007756350183338179+1.3740072808563985E-13i
1,0.009009750898434862+3.1810323911505594E-14i,0.009015988219191485+3.183234574050451E-14i
1,0.4388821050423227-4.0391274474202634E-15i,0.43918593680130813-4.041923677166284E-15i
1,0.48686491408704835,0.48720196365351687
1,0.5131468326629471,0.5135020768230405
1,0.5139111045714665,0.5142668778259923
1,0.6172319670344057+7.383133310531329E-17i,0.6176592678336215+7.388244547364159E-17i
1,0.6179040172150984,0.618331783264973
1,0.6942411878591606+1.5050097302778655E-16i,0.6947218010325935+1.506051626833653E-16i
1,0.7781799962854808-9.013417186049175E-17i,0.7787187190868031-9.0196570449239E-17i
1,0.8023418590838878-1.4529681178968603E-15i,0.8028973087947606-1.4539739867940842E-15i
1,0.8468988089798145+2.979249692959412E-16i,0.8474851048252333+2.9813121846041355E-16i
1,0.8474130693574795,0.8479997212179494
1,0.8625489716079906-1.5622720223130387E-15i,0.8631461018355477-1.5633535607287077E-15i
1,0.882699537318137+4.822562777655648E-16i,0.8833106174920553+4.82590136839498E-16i
2,1.7044072611709626E-11+4.948569814511758E-6i,1.7055871977649575E-11+4.951995638107505E-6i
2,7.115713948197667E-10+3.6085329634075674E-6i,7.120640054458275E-10+3.611031098795254E-6i
2,8.650223392547293E-10+4.42897053642673E-6i,8.65621181759078E-10+4.432036648927369E-6i
2,1.6278232021687024E-9-1.0236622004732904E-6i,1.628950120721885E-9-1.0243708670682672E-6i
2,2.4982721829562993E-9+4.594507935084571E-6i,2.50000170079959E-9+4.597688646741644E-6i
2,2.7278170640753186E-9+4.110519113555349E-6i,2.7297054925330897E-9+4.1133647667234E-6i
2,3.316591247181601E-9-3.077763693265876E-6i,3.318887275524724E-9-3.0798943847338637E-6i
2,1.2979566622096397E-8-2.274085337132882E-6i,1.2988552189091158E-8-2.2756596536523434E-6i
2,4.492293335431466E-7-8.408825242683567E-9i,4.495403285393656E-7-8.414646551265375E-9i
2,1.6922864489089714E-6+1.0931598222534615E-10i,1.6934579944392442E-6+1.0939166010508457E-10i
2,2.8319649758502765E-6+5.7178495948748E-9i,2.833925504407062E-6+5.721807979780599E-9i
2,3.574681142528205E-6-4.3481886878388105E-9i,3.5771558427879515E-6-4.351198876229378E-9i
2,4.081070350049997E-6-2.7194725589884265E-9i,4.083895616263298E-6-2.7213552106655327E-9i
2,4.465594928924543E-6+2.5949759683351767E-9i,4.468686395964514E-6+2.596772432816015E-9i
2,4.898928258804196E-6-2.168735204533063E-9i,4.90231971626604E-6-2.170236588673351E-9i
2,5.075286871460342E-6-5.640650840945073E-12i,5.078800419449186E-6-5.644555782265616E-12i
2,5.415047718370841E-6+4.0525894395908497E-10i,5.418796477899561E-6+4.055394988880124E-10i
2,5.852306734503142E-6-5.615597841421149E-13i,5.856358202149777E-6-5.619485438911024E-13i
2,0.015499654836950868+4.070961398192145E-13i,0.015510385024713531+4.0737796661237003E-13i
2,0.018015821161266692-3.6040392074449817E-14i,0.018028293254728937-3.606534231870151E-14i
2,0.4383431516161797-4.655407366765308E-15i,0.438646610265472-4.6586302382216445E-15i
2,0.48526314235692747,0.48559908303990174
2,0.5131844624320423+9.528199405530692E-17i,0.5135397326426828+9.534795640720246E-17i
2,0.5160382524109336-1.4553664143018173E-16i,0.516395498259266-1.4563739435050938E-16i
2,0.6155066895226741-1.4713941562867204E-16i,0.6159327959371219-1.4724127812648845E-16i
2,0.6181538992706348,0.6185818383102567
2,0.6953339159146481,0.6958152855679725
2,0.7787205452885805-1.0946093541494411E-16i,0.7792596423041906-1.0953671364368756E-16i
2,0.801645679790493-9.484410794427073E-16i,0.8022006475464698-9.490976715391958E-16i
2,0.8456124690076519+6.952528140812178E-16i,0.8461978743384383+6.957341275889113E-16i
